u_m,v_m,mass_kg,area_m2,areal_mass_kg_m2
1.312500000000000056e-01,-4.375000000000000416e-02,0.000000000000000000e+00,1.562500000000001388e-04,0.000000000000000000e+00
1.437499999999999889e-01,-4.375000000000000416e-02,0.000000000000000000e+00,1.562499999999992714e-04,0.000000000000000000e+00
-1.437499999999999889e-01,-3.125000000000000000e-02,0.000000000000000000e+00,1.562500000000001388e-04,0.000000000000000000e+00
-1.312500000000000056e-01,-3.125000000000000000e-02,0.000000000000000000e+00,1.562500000000001388e-04,0.000000000000000000e+00
-1.187499999999999944e-01,-3.125000000000000000e-02,0.000000000000000000e+00,1.562499999999997051e-04,0.000000000000000000e+00
-1.062499999999999972e-01,-3.125000000000000000e-02,0.000000000000000000e+00,1.562500000000005725e-04,0.000000000000000000e+00
-9.375000000000000000e-02,-3.125000000000000000e-02,0.000000000000000000e+00,1.562499999999992714e-04,0.000000000000000000e+00
-8.124999999999998890e-02,-3.125000000000000000e-02,0.000000000000000000e+00,1.562500000000001388e-04,0.000000000000000000e+00
-6.875000000000000555e-02,-3.125000000000000000e-02,0.000000000000000000e+00,1.562500000000001388e-04,0.000000000000000000e+00
-5.625000000000000139e-02,-3.125000000000000000e-02,0.000000000000000000e+00,1.562500000000001388e-04,0.000000000000000000e+00
